index,followers_friends_ratio,default_image,no biography,no location,friends,no tweets
3610511,0,0,0,0,1,0
5656162,0,0,0,0,1,0
5682702,0,0,0,0,0,0
6067292,0,0,0,1,1,0
6015122,0,0,0,0,0,0
6140012,0,0,0,0,1,0
6134312,0,0,0,0,1,0
6684602,0,0,0,1,1,0
7046912,0,0,0,0,1,0
7470952,0,0,0,0,1,0
8072492,0,0,0,0,1,0
8291932,0,0,0,0,1,0
8858022,0,0,0,0,1,0
8927532,0,0,0,0,1,0
8933252,0,0,0,1,1,0
9351052,0,0,0,0,0,0
9564632,0,0,0,0,1,0
9939012,0,0,0,0,1,0
9993142,0,0,0,0,1,0
10492262,0,0,0,0,1,0
11176152,0,0,0,0,1,0
13260592,0,0,0,0,1,0
14057516,0,0,0,1,1,0
14112759,0,0,0,0,1,0
14492555,0,0,0,0,1,0
14709812,0,0,0,0,1,0
14865840,0,0,0,0,1,0
14958182,0,0,0,0,1,0
15016610,0,0,0,0,1,0
15271419,0,0,0,0,1,0
15391421,0,0,0,0,1,0
15836275,0,0,0,0,1,0
15873303,0,0,0,0,1,0
16093829,0,0,0,0,1,0
16591972,0,0,0,0,1,0
16927266,0,0,0,0,1,0
17654864,0,0,0,0,1,0
17852114,0,0,0,0,1,0
18173213,0,0,0,0,1,0
18527544,0,0,0,1,1,0
18671285,0,0,0,0,1,0
18735790,0,0,0,0,1,0
18800245,0,0,0,0,1,0
19598248,0,0,0,0,1,0
21102000,0,0,0,0,1,0
21770069,0,0,0,0,1,0
22015750,0,0,0,0,1,0
22136015,0,0,0,0,0,0
22203964,0,0,0,0,1,0
22508731,0,0,0,0,1,0
22627606,0,0,0,0,1,0
22985259,0,0,0,0,1,0
23748269,0,0,0,0,1,0
23847948,0,0,0,0,1,0
24352106,0,0,0,0,0,0
24510304,0,0,0,0,0,0
25442408,0,0,0,0,1,0
25911628,0,0,0,0,1,0
26232444,0,0,0,0,0,0
26771352,0,0,0,1,1,0
27241975,0,0,0,0,1,0
27422705,0,0,0,0,1,0
27636956,0,0,0,0,1,0
27887098,0,0,0,0,1,0
28313453,0,0,0,0,1,0
28342883,0,0,0,0,1,0
28363979,0,0,0,0,0,0
28845598,0,0,0,0,1,0
29500667,0,0,0,0,1,0
29510629,0,0,0,0,1,0
29646177,0,0,0,0,1,0
30062603,0,0,0,0,1,0
31102741,0,0,0,0,1,0
31162918,0,0,0,0,1,0
32025215,0,0,0,0,1,0
32130104,0,0,0,0,1,0
32204918,0,0,0,0,1,0
33950570,0,0,0,0,1,0
34355343,0,0,0,0,1,0
34897604,0,0,0,0,0,0
35737313,0,0,0,1,0,0
36190135,0,0,0,1,0,0
36381609,0,0,0,0,1,0
36727238,0,0,0,0,1,0
37539436,0,0,0,0,1,0
37733715,0,0,0,0,1,0
37889070,0,0,0,1,1,0
37922072,0,0,0,0,1,0
38002859,0,0,0,1,0,0
38223194,0,0,0,1,1,0
38730407,0,0,0,0,1,0
38972677,0,0,0,0,1,0
39721490,0,0,0,0,1,0
39748948,0,0,0,0,1,0
41780152,0,0,0,1,1,0
41785738,0,0,0,0,1,0
42676920,0,0,0,0,1,0
42754744,0,0,0,0,1,0
43069058,0,0,0,0,1,0
43870029,0,0,0,0,0,0
43964510,0,0,0,0,1,0
44042861,0,0,0,0,1,0
44335261,0,0,0,1,1,0
44451302,0,0,0,0,1,0
45100798,0,0,0,0,1,0
45307775,0,0,0,1,1,0
45529357,0,0,0,0,1,0
45778279,0,0,0,1,1,0
46137662,0,0,0,0,1,0
46334699,0,0,0,0,1,0
47612213,0,0,0,1,1,0
48034707,0,0,0,0,1,0
48182327,0,0,0,1,1,0
48652450,0,0,0,0,1,0
48989220,0,0,0,0,1,0
49044510,0,0,0,1,1,0
49319803,0,0,0,0,1,0
49341424,0,0,0,0,1,0
49934607,0,0,0,0,1,0
49977491,0,0,0,0,1,0
50571065,0,0,0,0,1,0
50585331,0,0,0,0,1,0
50589337,0,0,0,1,1,0
50598277,0,0,0,1,1,0
50619779,0,0,0,0,1,0
50972738,0,0,0,0,1,0
51005435,0,0,0,1,1,0
51015996,0,0,0,0,1,0
51037293,0,0,0,0,1,0
51150318,0,0,0,0,1,0
51738765,0,0,0,1,1,0
51780170,0,0,0,0,0,0
52157135,0,0,0,0,1,0
53025684,0,0,0,1,1,0
53027768,0,0,0,1,1,0
53621838,0,0,0,0,1,0
54556442,0,0,0,0,1,0
54691030,0,0,0,1,1,0
54864334,0,0,0,0,1,0
54867711,0,0,0,0,0,0
54911584,0,0,0,1,1,0
55550359,0,0,0,0,1,0
55590832,0,0,0,0,1,0
55819049,0,0,0,1,1,0
56326516,0,0,0,0,1,0
56345134,0,0,0,0,1,0
56466070,0,0,0,0,1,0
56662794,0,0,0,0,1,0
56706947,0,0,0,0,1,0
56966762,0,0,0,0,0,0
57365720,0,0,0,0,0,0
57928664,0,0,0,0,1,0
59083826,0,0,0,0,1,0
59402800,0,0,0,0,1,0
60508255,0,0,0,0,1,0
61198155,0,0,0,0,1,0
61452320,0,0,0,0,0,0
61513445,0,0,0,1,1,0
61794519,0,0,0,0,0,0
62017536,0,0,0,0,1,0
62364690,0,0,0,1,1,0
63517006,0,0,0,0,1,0
63822625,0,0,0,0,1,0
64967572,0,0,0,0,1,0
66092090,0,0,0,0,1,0
67002064,0,0,0,1,1,0
67006908,0,0,0,0,1,0
69654626,0,0,0,0,0,0
69843045,0,0,1,0,1,0
69892452,0,0,0,0,1,0
70735118,0,0,0,0,1,0
71295474,0,0,0,0,1,0
71336448,0,0,0,1,1,0
71366031,0,0,0,0,1,0
71495570,0,0,0,0,1,0
71522541,0,0,0,0,1,0
71582266,0,0,0,0,1,0
72149178,0,0,0,0,1,0
72314987,0,0,0,0,1,0
72816504,0,0,0,0,1,0
72890647,0,0,0,0,1,0
72967193,0,0,0,1,1,0
73627373,0,0,0,0,1,0
73799359,0,0,0,0,1,0
74147053,0,0,0,1,1,0
74156552,0,0,0,0,1,0
74486653,0,0,0,0,1,0
74544145,0,0,0,0,1,0
75270480,0,0,0,0,1,0
75320990,0,0,0,1,1,0
75386921,0,0,0,0,0,0
75522479,0,0,0,0,1,0
75777355,0,0,0,0,1,0
76286424,0,0,0,1,1,0
76982240,0,0,0,0,1,0
77165019,0,0,0,0,1,0
77243029,0,0,0,0,1,0
77528520,0,0,0,0,1,0
78116487,0,0,0,0,1,0
78719596,0,0,0,1,0,0
80000814,0,0,0,1,1,0
81056258,0,0,0,0,1,0
81218261,0,0,0,0,0,0
81239268,0,0,0,0,0,0
81352611,0,0,0,1,1,0
81592426,0,0,0,0,1,0
81680710,0,0,0,0,1,0
81915249,0,0,0,0,1,0
82068999,0,0,0,1,1,0
82324675,0,0,0,0,1,0
82837121,0,0,0,0,1,0
83087554,0,0,0,0,1,0
83236897,0,0,0,0,1,0
83338869,0,0,0,0,1,0
83581269,0,0,0,0,1,0
84114885,0,0,1,1,0,0
84214494,0,0,0,0,1,0
84426046,0,0,0,0,0,0
84561646,0,0,0,0,1,0
84596057,0,0,0,0,1,0
85184915,0,0,0,0,0,0
85305729,0,0,0,0,1,0
85391583,0,0,0,0,1,0
85637186,0,0,0,0,1,0
85668015,0,0,0,0,0,0
85866409,0,0,0,0,1,0
86036102,0,0,0,1,1,0
86353404,0,0,0,0,0,0
86525417,0,0,0,1,1,0
86561552,0,0,0,1,1,0
86612717,0,0,0,1,1,0
86741673,0,0,0,0,1,0
86981924,0,0,0,0,1,0
87654715,0,0,0,0,0,0
88528666,0,0,0,0,0,0
89237976,0,0,0,0,1,0
89734891,0,0,0,0,1,0
91303893,0,0,0,0,0,0
92225723,0,0,0,0,0,0
92403540,0,0,0,1,1,0
93259719,0,0,0,0,1,0
93648877,0,0,0,0,0,0
94841494,0,0,0,0,0,0
95008519,0,0,0,0,1,0
95243555,0,0,0,0,1,0
95452901,0,0,0,0,1,0
96338067,0,0,0,0,1,0
96586973,0,0,0,0,1,0
98481107,0,0,0,0,1,0
98913291,0,0,0,0,1,0
100459808,0,0,0,0,1,0
100996879,0,0,0,1,1,0
101503282,0,0,0,0,1,0
102422355,0,0,0,0,0,0
102760709,0,0,0,0,1,0
103055195,0,0,0,1,0,0
103304208,0,0,0,0,0,0
104235671,0,0,0,0,1,0
104566770,0,0,0,1,1,0
104754590,0,0,1,0,1,0
104770020,0,0,0,0,1,0
104775098,0,0,0,1,1,0
104818930,0,0,0,0,1,0
104897833,0,0,0,0,1,0
105128951,0,0,0,0,0,0
105429377,0,0,0,1,1,0
105496654,0,0,0,0,1,0
106456147,0,0,0,0,1,0
107216254,0,0,0,0,1,0
107421428,0,0,0,0,1,0
107990833,0,0,0,1,1,0
108148833,0,0,0,0,1,0
108557681,0,0,0,0,1,0
109079114,0,0,0,0,1,0
110273768,0,0,0,0,1,0
110439086,0,0,0,0,1,0
110942781,0,0,0,0,0,0
111354131,0,0,0,0,1,0
111924058,0,0,0,1,1,0
112745297,0,0,0,0,1,0
113487244,0,0,0,0,1,0
113746083,0,0,0,1,1,0
114467204,0,0,0,0,0,0
114541436,0,0,0,0,1,0
115340992,0,0,0,1,0,0
115349856,0,0,0,0,1,0
115955798,0,0,0,0,1,0
116190007,0,0,0,1,1,0
116538160,0,0,0,0,1,0
117463248,0,0,0,0,1,0
117708359,0,0,0,0,1,0
117755159,0,0,0,0,1,0
118024286,0,0,0,1,1,0
118339229,0,0,0,0,1,0
118898139,0,0,0,0,1,0
119065059,0,0,0,0,1,0
123582130,0,0,0,1,0,0
123912727,0,0,0,0,1,0
124439362,0,0,0,1,1,0
124578978,0,0,0,0,1,0
125088832,0,0,0,0,1,0
126727689,0,0,0,1,1,0
126737626,0,0,0,0,1,0
128587032,0,0,0,0,1,0
129214047,0,0,0,0,1,0
129586152,0,0,0,0,1,0
130766020,0,0,0,1,0,0
131435310,0,0,0,0,1,0
132104173,0,0,0,0,1,0
132128902,0,0,0,1,1,0
132182052,0,0,0,0,1,0
132621562,0,0,0,0,0,0
132888488,0,0,0,1,1,0
132983450,0,0,0,0,0,0
133447001,0,0,0,0,1,0
134526134,0,0,0,0,1,0
134803800,0,0,0,0,1,0
135111235,0,0,0,0,1,0
135248338,0,0,0,0,1,0
135441917,0,0,0,0,1,0
135525784,0,0,0,0,1,0
135894129,0,0,0,0,1,0
136622745,0,0,0,0,1,0
136692380,0,0,0,0,1,0
137390297,0,0,0,1,1,0
138322603,0,0,0,0,1,0
138438793,0,0,0,0,1,0
138529938,0,0,0,0,1,0
138867555,0,0,0,0,1,0
140030010,0,0,0,0,1,0
140191830,0,0,0,0,1,0
140410819,0,0,0,1,1,0
141669233,0,0,0,0,1,0
142238323,0,0,0,0,1,0
142335653,0,0,0,0,1,0
143990497,0,0,0,0,0,0
144207876,0,0,0,0,1,0
144305807,0,0,0,0,1,0
145748083,0,0,0,0,0,0
146093361,0,0,0,1,0,0
148536610,0,0,0,0,1,0
149278846,0,0,0,0,1,0
150026364,0,0,0,0,1,0
150307637,0,0,0,0,1,0
150983977,0,0,0,0,1,0
151590831,0,0,0,1,1,0
151602547,0,0,0,0,1,0
151832482,0,0,0,0,1,0
153094652,0,0,0,1,1,0
153324815,0,0,0,0,1,0
154267358,0,0,0,0,1,0
154624409,0,0,0,0,0,0
155845161,0,0,0,0,1,0
157290467,0,0,0,0,1,0
158859711,0,0,0,0,1,0
159923003,0,0,0,0,1,0
159931202,0,0,0,0,1,0
160466484,0,0,0,0,1,0
160883386,0,0,0,0,0,0
161612145,0,0,0,0,1,0
161845690,0,0,0,0,1,0
163025432,0,0,0,0,1,0
163354973,0,0,0,0,1,0
163425928,0,0,0,0,1,0
163932767,0,0,0,1,1,0
164074870,0,0,0,1,0,0
165042220,0,0,0,0,1,0
165751518,0,0,0,0,1,0
166094049,0,0,0,0,0,0
168422352,0,0,0,1,1,0
168761446,0,0,0,0,1,0
170352080,0,0,0,0,1,0
170384943,0,0,0,0,1,0
170642321,0,0,0,1,0,0
170649757,0,0,0,0,1,0
170745775,0,0,0,0,0,0
171422343,0,0,0,1,0,0
173006814,0,0,0,0,1,0
173164569,0,0,0,1,1,0
173662542,0,0,0,0,1,0
173788566,0,0,0,0,1,0
174747861,0,0,0,0,1,0
174762418,0,0,0,1,1,0
176362396,0,0,0,0,1,0
178507135,0,0,0,0,1,0
181191549,0,0,0,0,1,0
181477746,0,0,0,0,1,0
182342223,0,0,0,1,1,0
183148817,0,0,0,0,1,0
183149280,0,0,0,1,1,0
183201799,0,0,0,0,1,0
183559621,0,0,0,0,1,0
184102704,0,0,0,1,1,0
184812764,0,0,0,0,1,0
185390609,0,0,0,1,0,0
187185454,0,0,0,0,1,0
187491410,0,0,0,0,1,0
189179659,0,0,0,1,1,0
189263728,0,0,0,0,1,0
190225727,0,0,0,0,0,0
190569663,0,0,0,0,1,0
190591610,0,0,0,0,1,0
191391803,0,0,0,1,1,0
191781461,0,0,0,1,1,0
193657123,0,0,0,0,1,0
193786482,0,0,0,0,1,0
194232740,0,0,0,0,1,0
194896850,0,0,0,0,1,0
195322597,0,0,0,0,1,0
195413637,0,0,0,0,1,0
196514953,0,0,0,0,1,0
196852073,0,0,0,0,1,0
197027748,0,0,0,0,0,0
197336556,0,0,0,1,0,0
197347453,0,0,0,1,1,0
198136015,0,0,0,0,1,0
198196003,0,0,0,0,1,0
198418075,0,0,0,1,1,0
198678682,0,0,0,1,1,0
199147059,0,0,0,0,0,0
199597851,0,0,0,0,1,0
200293129,0,0,0,1,1,0
200482073,0,0,0,1,1,0
201012406,0,0,0,0,1,0
202244649,0,0,0,0,1,0
202555952,0,0,0,0,1,0
203107523,0,0,0,0,1,0
204299339,0,0,0,0,1,0
204480603,0,0,0,0,1,0
206615715,0,0,0,0,1,0
209128079,0,0,0,0,1,0
209559462,0,0,0,0,0,0
209733883,0,0,0,0,1,0
210459173,0,0,0,0,1,0
210483287,0,0,0,0,1,0
210514893,0,0,0,0,1,0
211487690,0,0,0,0,1,0
211904475,0,0,0,0,1,0
212175167,0,0,0,0,1,0
212292079,0,0,0,0,0,0
212724606,0,0,0,0,1,0
212953427,0,0,0,0,1,0
213061611,0,0,0,1,1,0
215216086,0,0,0,0,1,0
216361529,0,0,0,0,1,0
216790973,0,0,0,0,0,0
217350735,0,0,0,0,1,0
218071279,0,0,0,0,1,0
218092490,0,0,0,0,1,0
219346690,0,0,0,0,1,0
219617010,0,0,0,0,1,0
221173559,0,0,0,1,1,0
221690177,0,0,0,0,1,0
221742699,0,0,0,1,1,0
223533298,0,0,0,0,1,0
223840972,0,0,0,1,1,0
225045616,0,0,0,0,1,0
225323618,0,0,0,0,1,0
226197498,0,0,0,0,1,0
226964193,0,0,0,0,1,0
227817668,0,0,0,1,0,0
228056042,0,0,0,0,1,0
228306355,0,0,0,0,1,0
228708687,0,0,0,0,0,0
229298733,0,0,0,0,1,0
229758375,0,0,0,0,1,0
231058132,0,0,0,0,0,0
231377654,0,0,0,0,1,0
232560751,0,0,0,1,1,0
233245609,0,0,0,0,1,0
233287464,0,0,0,0,1,0
234715592,0,0,0,0,1,0
235303172,0,0,0,1,1,0
237747438,0,0,0,0,1,0
238107344,0,0,0,1,1,0
240346934,0,0,0,0,1,0
242064566,0,0,0,1,1,0
242123621,0,0,0,1,1,0
242301103,0,0,0,0,1,0
242319331,0,0,0,0,1,0
242341704,0,0,0,0,1,0
243891976,0,0,0,0,1,0
244625605,0,0,0,0,1,0
245306807,0,0,0,1,1,0
245430145,0,0,0,0,1,0
245953131,0,0,0,0,1,0
245970658,0,0,0,0,1,0
246208736,0,0,0,0,1,0
246886628,0,0,0,0,1,0
249122012,0,0,0,0,1,0
249692862,0,0,0,0,0,0
250171190,0,0,0,0,1,0
250842076,0,0,0,0,1,0
250851165,0,0,0,1,0,0
251313896,0,0,0,0,1,0
251500925,0,0,0,0,0,0
252516822,0,0,0,0,1,0
252686122,0,0,0,1,0,0
253281330,0,0,0,0,1,0
254558097,0,0,0,0,1,0
255656786,0,0,0,0,1,0
256598881,0,0,0,0,1,0
256689270,0,0,0,0,0,0
257399906,0,0,0,0,1,0
258762800,0,0,0,1,1,0
259160079,0,0,0,1,1,0
259428725,0,0,0,0,1,0
259773527,0,0,0,0,1,0
259894552,0,0,0,0,1,0
259934562,0,0,0,0,1,0
260636096,0,0,0,0,1,0
260693820,0,0,0,0,1,0
261223538,0,0,0,0,1,0
262100774,0,0,0,0,1,0
262165317,0,0,0,1,0,0
262199092,0,0,0,0,1,0
262235136,0,0,0,0,1,0
262328083,0,0,0,0,1,0
262898875,0,0,0,1,1,0
263278290,0,0,0,0,1,0
264333523,0,0,0,0,1,0
264801154,0,0,0,1,1,0
265419912,0,0,0,1,1,0
265529493,0,0,0,1,0,0
268773741,0,0,0,1,1,0
269535022,0,0,0,0,1,0
270472440,0,0,0,0,1,0
271032827,0,0,0,0,1,0
272876921,0,0,0,0,1,0
273686840,0,0,0,0,1,0
274536794,0,0,0,0,1,0
279139861,0,0,0,0,1,0
279147035,0,0,0,0,1,0
279211405,0,0,0,0,1,0
279461605,0,0,0,1,1,0
279557700,0,0,0,0,1,0
279644158,0,0,0,1,1,0
282738890,0,0,0,0,1,0
283521316,0,0,0,0,0,0
283906965,0,0,0,0,1,0
284481700,0,0,0,0,1,0
284657297,0,0,0,0,1,0
285724171,0,0,1,0,1,0
286790717,0,0,0,0,0,0
286798567,0,0,0,0,1,0
287557719,0,0,0,0,0,0
288148846,0,0,0,0,1,0
288798453,0,0,0,0,1,0
289859824,0,0,0,0,1,0
290723075,0,0,0,0,1,0
290734286,0,0,0,0,1,0
291290779,0,0,0,0,1,0
291314239,0,0,0,0,0,0
291403211,0,0,0,0,1,0
292565648,0,0,0,0,1,0
292577710,0,0,0,0,0,0
292912980,0,0,0,1,1,0
293394867,0,0,0,1,1,0
295168932,0,0,0,0,1,0
295788103,0,0,0,0,1,0
295961505,0,0,0,0,0,0
296876973,0,0,0,0,1,0
296999433,0,0,0,1,0,0
298018338,0,0,0,1,1,0
298459779,0,0,0,0,1,0
298489056,0,0,0,1,1,0
299837277,0,0,0,1,0,0
299837762,0,0,0,0,1,0
300796010,0,0,0,0,1,0
300838107,0,0,0,0,1,0
302114763,0,0,0,1,1,0
305386550,0,0,0,0,0,0
305553835,0,0,0,0,0,0
305551682,0,0,0,0,1,0
307790129,0,0,0,1,1,0
308151060,0,0,0,0,1,0
308672071,0,0,1,1,1,0
309800578,0,0,0,0,1,0
310250028,0,0,0,0,1,0
310401703,0,0,0,0,0,0
310496499,0,0,0,0,1,0
311394394,0,0,0,1,1,0
311505461,0,0,0,1,1,0
314030119,0,0,0,0,1,0
314922007,0,0,0,0,0,0
315436528,0,0,0,0,1,0
318661130,0,0,0,0,1,0
319054277,0,0,0,0,1,0
319091474,0,0,0,0,1,0
320880780,0,0,0,1,1,0
321266890,0,0,0,1,1,0
321281383,0,0,0,0,1,0
321425967,0,0,0,0,1,0
322587980,0,0,0,1,1,0
323379897,0,0,0,0,1,0
323809354,0,0,0,1,1,0
323937090,0,0,0,1,1,0
324440293,0,0,0,0,1,0
325551297,0,0,0,1,0,0
326054560,0,0,0,0,1,0
327397233,0,0,0,1,1,0
327510902,0,0,0,0,1,0
329008715,0,0,0,0,1,0
329103684,0,0,0,1,1,0
330202919,0,0,0,0,0,0
330327779,0,0,0,0,1,0
331312863,0,0,0,0,1,0
331875962,0,0,0,1,1,0
332389973,0,0,0,0,1,0
332699729,0,0,0,0,0,0
335208230,0,0,0,1,1,0
335832794,0,0,0,0,1,0
335837698,0,0,0,0,1,0
336406661,0,0,0,0,1,0
337161930,0,0,0,0,1,0
338284756,0,0,0,0,1,0
339058002,0,0,0,0,0,0
340346783,0,0,0,0,1,0
340364061,0,0,0,0,1,0
340396112,0,0,0,0,1,0
340951450,0,0,0,0,0,0
341339579,0,0,0,0,1,0
343307517,0,0,0,0,0,0
343473585,0,0,0,0,0,0
344525772,0,0,0,0,1,0
346829273,0,0,0,0,1,0
347274232,0,0,0,0,1,0
348430064,0,0,0,0,0,0
348981732,0,0,0,0,0,0
349204176,0,0,0,0,1,0
349626625,0,0,0,0,1,0
349929809,0,0,0,1,1,0
350160058,0,0,0,0,1,0
350244854,0,0,0,0,1,0
350791585,0,0,0,0,1,0
351555225,0,0,0,1,1,0
353011489,0,0,0,1,1,0
353768504,0,0,0,0,1,0
354796858,0,0,0,0,1,0
354818247,0,0,0,1,0,0
355600495,0,0,0,0,0,0
357129429,0,0,0,0,1,0
358733502,0,0,0,0,1,0
359926634,0,0,0,1,0,0
360547500,0,0,0,0,1,0
361097511,0,0,0,1,1,0
361746019,0,0,0,1,1,0
361784332,0,0,0,0,1,0
362993719,0,0,0,0,1,0
363251033,0,0,0,0,1,0
363830865,0,0,0,1,1,0
364111442,0,0,0,1,1,0
364277230,0,0,0,0,1,0
364323869,0,0,0,0,1,0
364776732,0,0,0,0,1,0
364805437,0,0,0,0,1,0
364851614,0,0,0,0,1,0
365372541,0,0,0,0,1,0
365383515,0,0,0,1,0,0
365440652,0,0,0,0,0,0
365622635,0,0,0,0,1,0
365665311,0,0,0,1,1,0
366116632,0,0,0,0,1,0
367240411,0,0,0,0,1,0
368540321,0,0,0,1,0,0
368579486,0,0,0,0,0,0
369537903,0,0,0,1,1,0
370193929,0,0,0,1,1,0
370625229,0,0,0,0,1,0
370850929,0,0,0,0,1,0
373579998,0,0,0,0,1,0
373947833,0,0,0,0,1,0
374062715,0,0,0,0,1,0
374488191,0,0,0,0,1,0
375209946,0,0,0,0,1,0
376425777,0,0,0,1,1,0
376677633,0,0,0,0,1,0
376705770,0,0,0,0,1,0
377304816,0,0,0,1,0,0
377389027,0,0,0,1,1,0
377914761,0,0,0,0,1,0
378009515,0,0,0,1,0,0
379114417,0,0,0,1,1,0
379260334,0,0,0,0,1,0
380015773,0,0,0,0,1,0
380172348,0,0,0,0,1,0
380319760,0,0,0,0,1,0
381030516,0,0,0,0,1,0
381666513,0,0,0,0,1,0
381950248,0,0,0,0,1,0
381960133,0,0,0,1,1,0
382178634,0,0,0,0,1,0
382271109,0,0,0,0,1,0
383292062,0,0,0,1,1,0
383387954,0,0,0,1,1,0
383825758,0,0,0,1,1,0
384753006,0,0,0,0,1,0
384932218,0,0,0,0,1,0
385868840,0,0,0,0,1,0
386034126,0,0,0,0,1,0
386779723,0,0,0,0,1,0
387718926,0,0,0,0,1,0
387971079,0,0,0,0,1,0
388348486,0,0,0,0,1,0
388842116,0,0,0,0,1,0
389400082,0,0,0,1,1,0
389652102,0,0,0,0,1,0
389715862,0,0,0,0,1,0
390428793,0,0,0,0,0,0
390730174,0,0,0,1,0,0
390759955,0,0,0,1,1,0
390972554,0,0,0,1,1,0
391362651,0,0,0,1,0,0
391526633,0,0,0,0,1,0
391572279,0,0,0,1,0,0
391614396,0,0,0,1,0,0
391924068,0,0,0,0,1,0
392210280,0,0,0,1,1,0
392247237,0,0,0,1,1,0
392676979,0,0,0,0,1,0
393628023,0,0,0,0,1,0
393980520,0,0,0,0,1,0
394004577,0,0,0,0,1,0
394007331,0,0,0,1,1,0
394217175,0,0,0,0,1,0
394233142,0,0,0,0,1,0
394628127,0,0,0,0,1,0
394726610,0,0,0,1,0,0
394814291,0,0,0,0,1,0
395014721,0,0,0,1,1,0
396173375,0,0,0,0,0,0
396462550,0,0,0,0,1,0
396515695,0,0,0,0,1,0
396618509,0,0,0,1,1,0
396625283,0,0,0,1,1,0
396796142,0,0,0,0,1,0
396898731,0,0,0,1,1,0
396900261,0,0,0,0,1,0
397236414,0,0,0,0,0,0
397320325,0,0,0,0,1,0
397324373,0,0,0,1,1,0
397534181,0,0,0,1,1,0
397629967,0,0,0,0,1,0
398090733,0,0,0,0,1,0
398442529,0,0,0,0,0,0
399484359,0,0,0,0,1,0
399572723,0,0,0,1,1,0
400300086,0,0,0,0,1,0
400546232,0,0,0,0,1,0
400748069,0,0,0,0,0,0
401423776,0,0,0,0,1,0
401502696,0,0,0,0,1,0
402866477,0,0,0,0,1,0
402955893,0,0,0,0,0,0
402979897,0,0,0,0,1,0
403461794,0,0,0,0,0,0
403766373,0,0,0,0,1,0
404069171,0,0,0,0,1,0
404987270,0,0,0,1,1,0
405035087,0,0,0,0,1,0
405140479,0,0,0,1,0,0
405418046,0,0,0,0,1,0
405574548,0,0,0,0,1,0
406165467,0,0,0,0,1,0
406162937,0,0,0,0,1,0
406907214,0,0,0,1,1,0
406962616,0,0,0,1,1,0
407024811,0,0,0,1,1,0
407101499,0,0,0,0,1,0
407689676,0,0,0,0,1,0
407844335,0,0,0,0,1,0
407964674,0,0,0,0,0,0
408087080,0,0,0,1,1,0
408348854,0,0,0,0,1,0
408466988,0,0,0,1,0,0
409118790,0,0,0,0,1,0
410044683,0,0,0,0,1,0
410719897,0,0,0,0,0,0
410941537,0,0,0,0,1,0
411386883,0,0,0,0,1,0
411410885,0,0,0,1,0,0
412112516,0,0,0,0,1,0
412145728,0,0,0,0,1,0
412240393,0,0,0,1,1,0
412325725,0,0,0,0,0,0
412601262,0,0,0,1,1,0
413233876,0,0,0,1,1,0
413255529,0,0,0,0,1,0
413269532,0,0,0,0,1,0
413296140,0,0,0,0,1,0
413332388,0,0,0,0,1,0
