index,number_of_friends,number_of_tweets,content_of_tweets,url_ratio,friends_to_follower_ratio,age,following_rate
3610511,1,1,0,0,1,1,0
5656162,0,1,1,1,1,1,1
5682702,0,1,1,1,1,1,1
6067292,0,1,1,1,1,1,1
6015122,0,1,0,1,1,1,1
6140012,0,1,1,1,1,1,1
6134312,0,1,0,1,1,1,1
6684602,1,1,1,1,1,1,0
7046912,0,1,1,1,1,1,0
7470952,0,1,0,1,1,1,1
8072492,0,1,1,1,1,1,1
8291932,1,1,0,1,1,1,0
8858022,0,1,0,0,1,1,1
8927532,0,1,0,1,1,1,1
8933252,1,1,1,1,1,1,0
9351052,0,1,1,1,1,1,1
9564632,0,1,0,1,1,1,0
9939012,0,1,0,0,1,1,0
9993142,0,1,0,1,1,1,1
10492262,0,1,1,1,1,1,1
11176152,0,1,1,1,1,1,1
13260592,0,1,0,1,1,1,1
14057516,1,1,1,1,1,1,0
14112759,0,1,1,1,1,1,1
14492555,0,1,1,1,1,1,1
14709812,0,1,0,1,1,1,1
14865840,1,1,0,0,1,1,0
14958182,0,1,1,1,1,1,1
15016610,0,1,0,1,1,1,1
15271419,1,1,0,1,1,1,0
15391421,1,1,0,1,1,1,0
15836275,0,1,1,1,1,1,1
15873303,0,1,1,1,1,1,1
16093829,0,1,0,1,1,1,1
16591972,0,1,0,1,1,1,0
16927266,0,1,1,1,1,1,1
17654864,0,1,0,0,1,1,1
17852114,0,1,1,1,1,1,1
18173213,1,1,0,0,1,1,0
18527544,0,1,0,1,1,1,1
18671285,0,1,0,1,1,1,0
18735790,0,1,1,1,1,1,1
18800245,0,1,0,1,1,1,0
19598248,0,1,0,1,1,1,1
21102000,1,1,0,1,1,1,0
21770069,1,1,0,1,1,1,0
22015750,1,1,0,1,1,1,0
22136015,0,1,0,1,1,1,1
22203964,0,1,1,1,1,1,1
22508731,0,1,0,1,1,1,1
22627606,0,1,1,0,1,1,1
22985259,1,1,1,1,1,1,0
23748269,0,1,1,1,1,1,1
23847948,0,1,1,1,1,1,1
24352106,0,1,1,1,1,1,1
24510304,0,1,1,1,1,1,1
25442408,0,1,1,0,1,1,1
25911628,0,1,1,1,1,1,1
26232444,0,1,1,1,1,1,1
26771352,0,1,1,1,1,1,1
27241975,0,1,0,1,1,1,1
27422705,0,1,1,1,1,1,1
27636956,1,1,1,1,1,1,0
27887098,0,1,1,1,1,1,1
28313453,0,1,0,1,1,1,1
28342883,1,1,1,1,1,1,0
28363979,0,1,1,1,1,1,1
28845598,0,1,1,1,1,1,1
29500667,0,1,1,1,1,1,1
29510629,0,1,1,1,1,1,1
29646177,1,1,0,1,1,1,0
30062603,0,1,1,1,1,1,1
31102741,1,1,0,1,1,1,0
31162918,0,1,0,0,1,1,0
32025215,0,1,0,1,1,1,1
32130104,0,1,1,1,1,1,1
32204918,1,1,1,1,1,1,0
33950570,0,1,1,1,1,1,1
34355343,0,1,1,1,1,1,1
34897604,0,1,1,1,1,1,1
35737313,0,1,1,1,1,1,1
36190135,0,1,0,1,1,1,1
36381609,0,1,1,0,1,1,1
36727238,0,1,1,1,1,1,1
37539436,0,1,1,1,1,1,1
37733715,0,1,0,0,1,1,1
37889070,0,1,1,1,1,1,1
37922072,0,1,0,1,1,1,1
38002859,0,1,1,1,1,1,1
38223194,0,1,1,1,1,1,1
38730407,0,1,0,1,1,1,1
38972677,0,1,0,1,1,1,1
39721490,0,1,0,1,1,1,1
39748948,0,1,0,0,1,1,1
41780152,0,1,0,1,1,1,1
41785738,0,1,1,1,1,1,1
42676920,1,1,1,1,1,1,0
42754744,1,1,0,1,1,1,0
43069058,0,1,0,1,1,1,0
43870029,0,1,1,1,1,1,1
43964510,1,1,1,1,1,1,0
44042861,0,1,1,1,1,1,1
44335261,0,1,0,1,1,1,1
44451302,0,1,0,1,1,1,1
45100798,0,1,1,1,1,1,1
45307775,0,1,1,1,1,1,1
45529357,0,1,1,1,1,1,1
45778279,0,1,0,1,1,1,1
46137662,0,1,1,1,1,1,0
46334699,0,1,1,1,1,1,0
47612213,0,1,1,1,1,1,1
48034707,0,1,1,1,1,1,1
48182327,0,1,1,1,1,1,1
48652450,0,1,1,0,1,1,1
48989220,0,1,1,1,1,1,0
49044510,1,1,1,1,1,1,0
49319803,0,1,0,1,1,1,1
49341424,0,1,1,1,1,1,1
49934607,0,1,1,1,1,1,0
49977491,0,1,0,1,1,1,1
50571065,0,1,0,1,1,1,1
50585331,0,1,1,1,1,1,1
50589337,0,1,1,0,1,1,1
50598277,0,1,1,1,1,1,1
50619779,0,1,0,1,1,1,1
50972738,0,1,1,1,1,1,1
51005435,0,1,1,1,1,1,0
51015996,0,1,1,1,1,1,1
51037293,0,1,0,1,1,1,1
51150318,1,1,0,1,1,1,0
51738765,0,1,1,1,1,1,1
51780170,0,1,1,1,1,1,1
52157135,0,1,1,1,1,1,1
53025684,1,1,1,1,1,1,0
53027768,0,1,0,1,1,1,0
53621838,0,1,0,0,1,1,1
54556442,0,1,0,1,1,1,1
54691030,0,1,1,1,1,1,1
54864334,0,1,0,1,1,1,1
54867711,0,1,0,1,1,1,1
54911584,1,1,1,1,1,1,0
55550359,0,1,1,1,1,1,1
55590832,0,1,1,1,1,1,1
55819049,0,1,1,1,1,1,1
56326516,1,1,0,1,1,1,0
56345134,1,1,0,1,1,1,0
56466070,0,1,1,1,1,1,1
56662794,0,1,1,1,1,1,1
56706947,0,1,1,1,1,1,1
56966762,0,1,0,0,1,1,1
57365720,0,1,0,1,1,1,1
57928664,0,1,1,1,1,1,0
59083826,0,1,1,1,1,1,1
59402800,0,1,1,1,1,1,1
60508255,0,1,0,0,1,1,0
61198155,0,1,0,1,1,1,1
61452320,0,1,1,1,1,1,1
61513445,0,1,1,1,1,1,1
61794519,0,1,1,1,1,1,1
62017536,0,1,1,1,1,1,1
62364690,0,1,1,1,1,1,0
63517006,0,1,1,1,1,1,1
63822625,0,1,1,1,1,1,1
64967572,0,1,1,1,1,1,1
66092090,0,1,1,1,1,1,1
67002064,0,1,1,1,1,1,1
67006908,0,1,0,1,1,1,1
69654626,0,1,1,1,1,1,1
69843045,0,1,1,1,1,1,1
69892452,0,1,1,1,1,1,0
70735118,0,1,0,1,1,1,1
71295474,0,1,0,1,1,1,1
71336448,0,1,1,1,1,1,1
71366031,0,1,1,1,1,1,1
71495570,0,1,0,1,1,1,1
71522541,0,1,0,1,1,1,1
71582266,0,1,1,1,1,1,1
72149178,0,1,1,1,1,1,1
72314987,0,1,1,1,1,1,1
72816504,0,1,0,1,1,1,1
72890647,0,1,1,1,1,1,0
72967193,0,1,1,1,1,1,1
73627373,0,1,1,1,1,1,1
73799359,0,1,1,1,1,1,1
74147053,1,1,1,1,1,1,0
74156552,1,1,1,1,1,1,0
74486653,0,1,0,1,1,1,0
74544145,0,1,0,1,1,1,1
75270480,0,1,1,1,1,1,1
75320990,0,1,0,1,1,1,1
75386921,0,1,1,1,1,1,1
75522479,0,1,1,1,1,1,1
75777355,0,1,1,1,1,1,1
76286424,0,1,1,1,1,1,1
76982240,0,1,1,1,1,1,0
77165019,0,1,1,1,1,1,0
77243029,0,1,0,1,1,1,0
77528520,1,1,1,1,1,1,0
78116487,0,1,0,1,1,1,0
78719596,0,1,1,1,1,1,1
80000814,0,1,1,1,1,1,1
81056258,0,1,1,1,1,1,1
81218261,0,1,1,1,1,1,1
81239268,0,1,1,1,1,1,1
81352611,0,1,1,1,1,1,1
81592426,0,1,1,1,1,1,1
81680710,1,1,1,1,1,1,0
81915249,1,1,1,1,1,1,0
82068999,0,1,0,1,1,1,1
82324675,0,1,0,1,1,1,1
82837121,0,1,0,1,1,1,1
83087554,0,1,0,0,1,1,1
83236897,1,1,0,0,1,1,0
83338869,0,1,0,1,1,1,1
83581269,0,1,0,0,1,1,1
84114885,0,1,1,1,1,1,1
84214494,1,1,0,1,1,1,0
84426046,0,1,1,1,1,1,1
84561646,0,1,0,1,1,1,1
84596057,1,1,1,1,1,1,0
85184915,0,1,1,1,1,1,1
85305729,0,1,1,1,1,1,1
85391583,0,1,0,1,1,1,1
85637186,0,1,0,1,1,1,1
85668015,0,1,1,1,1,1,1
85866409,0,1,1,1,1,1,0
86036102,0,1,1,1,1,1,1
86353404,0,1,0,1,1,1,1
86525417,0,1,1,1,1,1,1
86561552,0,1,1,1,1,1,1
86612717,0,1,1,0,1,1,1
86741673,0,1,1,1,1,1,1
86981924,0,1,0,0,1,1,1
87654715,0,1,1,1,1,1,1
88528666,0,1,1,1,1,1,1
89237976,0,1,1,1,1,1,1
89734891,0,1,0,0,1,1,1
91303893,0,1,1,0,1,1,1
92225723,0,1,1,1,1,1,1
92403540,0,1,0,1,1,1,1
93259719,0,1,0,1,1,1,1
93648877,0,1,1,1,1,1,1
94841494,0,1,1,1,1,1,1
95008519,0,1,0,1,1,1,1
95243555,0,1,0,1,1,1,1
95452901,0,1,0,1,1,1,1
96338067,0,1,1,1,1,1,1
96586973,0,1,1,1,1,1,1
98481107,0,1,1,1,1,1,1
98913291,0,1,1,0,1,1,1
100459808,0,1,1,1,1,1,1
100996879,0,1,1,1,1,1,1
101503282,1,1,1,1,1,1,0
102422355,0,1,1,1,1,1,1
102760709,0,1,1,1,1,1,1
103055195,0,1,1,1,1,1,1
103304208,0,1,1,1,1,1,1
104235671,0,1,0,1,1,1,1
104566770,0,1,1,1,1,1,0
104754590,0,1,1,0,1,1,0
104770020,0,1,1,1,1,1,1
104775098,0,1,0,1,1,1,0
104818930,0,1,1,1,1,1,1
104897833,0,1,1,1,1,1,0
105128951,0,1,1,1,1,1,1
105429377,1,1,0,1,1,1,0
105496654,0,1,1,1,1,1,1
106456147,0,1,1,1,1,1,1
107216254,0,1,0,1,1,1,0
107421428,0,1,0,1,1,1,0
107990833,0,1,0,1,1,1,1
108148833,0,1,0,1,1,1,1
108557681,0,1,1,1,1,1,1
109079114,0,1,0,1,1,1,0
110273768,1,1,1,1,1,1,0
110439086,0,1,1,1,1,1,1
110942781,0,1,1,1,1,1,1
111354131,0,1,0,1,1,1,1
111924058,1,1,1,1,1,1,0
112745297,1,1,1,1,1,1,0
113487244,0,1,0,1,1,1,1
113746083,0,1,0,1,1,1,0
114467204,0,1,1,1,1,1,1
114541436,0,1,1,1,1,1,1
115340992,0,1,1,1,1,1,1
115349856,0,1,1,0,1,1,1
115955798,1,1,0,0,1,1,0
116190007,0,1,1,1,1,1,1
116538160,0,1,1,1,1,1,1
117463248,0,1,0,0,1,1,1
117708359,0,1,1,1,1,1,1
117755159,0,1,1,1,1,1,0
118024286,0,1,1,1,1,1,0
118339229,0,1,0,1,1,1,1
118898139,0,1,0,0,1,1,0
119065059,0,1,1,0,1,1,1
123582130,0,1,1,1,1,1,1
123912727,0,1,1,1,1,1,1
124439362,0,1,1,1,1,1,1
124578978,0,1,1,1,1,1,0
125088832,0,1,0,1,1,1,1
126727689,0,1,0,1,1,1,0
126737626,0,1,1,1,1,1,1
128587032,0,1,1,1,1,1,0
129214047,0,1,1,1,1,1,1
129586152,0,1,1,0,1,1,1
130766020,0,1,0,1,1,1,1
131435310,1,1,0,1,1,1,0
132104173,0,1,0,1,1,1,1
132128902,0,1,0,1,1,1,1
132182052,0,1,1,1,1,1,1
132621562,0,1,1,1,1,1,1
132888488,0,1,0,1,1,1,0
132983450,0,1,1,1,1,1,1
133447001,1,1,0,1,1,1,0
134526134,0,1,1,1,1,1,1
134803800,1,1,1,1,1,1,0
135111235,0,1,1,1,1,1,1
135248338,0,1,1,1,1,1,1
135441917,0,1,0,0,1,1,1
135525784,0,1,1,1,1,1,1
135894129,0,1,1,1,1,1,1
136622745,0,1,1,1,1,1,0
136692380,0,1,0,0,1,1,1
137390297,0,1,1,1,1,1,1
138322603,0,1,1,1,1,1,1
138438793,0,1,0,1,1,1,0
138529938,0,1,1,1,1,1,1
138867555,0,1,0,1,1,1,1
140030010,0,1,0,0,1,1,1
140191830,0,1,1,1,1,1,1
140410819,0,1,1,1,1,1,1
141669233,0,1,0,1,1,1,1
142238323,0,1,1,1,1,1,1
142335653,0,1,1,1,1,1,0
143990497,0,1,1,1,1,1,1
144207876,0,1,1,1,1,1,1
144305807,0,1,1,1,1,1,1
145748083,0,1,1,1,1,1,1
146093361,0,1,0,1,1,1,1
148536610,0,1,0,0,1,1,1
149278846,0,1,1,1,1,1,1
150026364,0,1,0,1,1,1,0
150307637,0,1,1,1,1,1,1
150983977,0,1,0,1,1,1,1
151590831,0,1,0,1,1,1,1
151602547,0,1,0,0,1,1,1
151832482,0,1,0,1,1,1,1
153094652,0,1,0,1,1,1,1
153324815,0,1,1,1,1,1,1
154267358,0,1,1,1,1,1,1
154624409,0,1,1,0,1,1,1
155845161,0,1,0,1,1,1,1
157290467,0,1,1,1,1,1,1
158859711,0,1,1,1,1,1,1
159923003,0,1,1,1,1,1,1
159931202,0,1,1,1,1,1,1
160466484,0,1,1,1,1,1,0
160883386,0,1,1,1,1,1,1
161612145,0,1,1,1,1,1,1
161845690,0,1,1,1,1,1,1
163025432,0,1,1,1,1,1,1
163354973,0,1,0,1,1,1,1
163425928,0,1,1,0,1,1,1
163932767,0,1,1,1,1,1,1
164074870,0,1,1,1,1,1,1
165042220,0,1,1,1,1,1,1
165751518,0,1,0,1,1,1,0
166094049,0,1,0,1,1,1,1
168422352,0,1,1,1,1,1,1
168761446,0,1,0,1,1,1,0
170352080,0,1,0,1,1,1,1
170384943,0,1,1,1,1,1,0
170642321,0,1,0,1,1,1,1
170649757,0,0,1,1,1,1,1
170745775,0,1,1,1,1,1,1
171422343,0,1,1,1,1,1,1
173006814,0,1,1,1,1,1,1
173164569,0,1,1,1,1,1,0
173662542,0,1,1,1,1,1,1
173788566,0,1,1,1,1,1,1
174747861,1,1,1,1,1,1,0
174762418,0,1,0,1,1,1,0
176362396,0,1,1,1,1,1,1
178507135,1,1,1,1,1,1,0
181191549,0,1,1,1,1,1,1
181477746,0,1,1,1,1,1,1
182342223,0,1,1,1,1,1,1
183148817,1,1,1,1,1,1,0
183149280,0,1,1,1,1,1,1
183201799,1,1,0,1,1,1,0
183559621,0,1,1,1,1,1,1
184102704,0,1,1,1,1,1,1
184812764,0,1,1,1,1,1,0
185390609,0,1,0,0,1,1,1
187185454,0,1,0,1,1,1,1
187491410,0,1,1,1,1,1,1
189179659,0,1,0,1,1,1,1
189263728,0,1,1,1,1,1,1
190225727,0,1,1,1,1,1,1
190569663,0,1,0,1,1,1,1
190591610,0,1,1,1,1,1,1
191391803,0,1,1,1,1,1,1
191781461,0,1,1,1,1,1,1
193657123,0,1,1,1,1,1,1
193786482,0,1,1,1,1,1,1
194232740,0,1,1,1,1,1,1
194896850,0,1,1,1,1,1,1
195322597,0,1,0,1,1,1,1
195413637,0,1,1,1,1,1,1
196514953,0,1,0,0,1,1,1
196852073,0,1,1,1,1,1,1
197027748,0,1,1,1,1,1,1
197336556,0,1,1,1,1,1,1
197347453,1,1,1,1,1,1,0
198136015,0,1,1,1,1,1,1
198196003,0,1,1,1,1,1,1
198418075,0,1,1,1,1,1,1
198678682,0,1,0,1,1,1,1
199147059,0,1,1,1,1,1,1
199597851,0,1,0,1,1,1,1
200293129,0,1,0,1,1,1,0
200482073,0,1,1,1,1,1,1
201012406,0,1,1,1,1,1,1
202244649,0,1,1,1,1,1,0
202555952,0,1,0,1,1,1,0
203107523,0,1,1,1,1,1,1
204299339,0,1,1,1,1,1,1
204480603,1,1,0,1,1,1,0
206615715,0,1,1,1,1,1,0
209128079,0,1,1,1,1,1,1
209559462,0,1,1,1,1,1,1
209733883,0,1,1,1,1,1,0
210459173,0,1,1,1,1,1,0
210483287,0,1,1,1,1,1,1
210514893,0,1,1,1,1,1,0
211487690,0,1,0,1,1,1,0
211904475,1,1,0,0,1,1,0
212175167,0,1,1,1,1,1,0
212292079,0,1,0,1,1,1,1
212724606,0,1,1,1,1,1,1
212953427,0,1,0,1,1,1,1
213061611,0,1,0,1,1,1,1
215216086,1,1,0,1,1,1,0
216361529,0,1,1,1,1,1,1
216790973,0,1,1,1,1,1,1
217350735,0,1,1,1,1,1,1
218071279,0,1,1,1,1,1,1
218092490,0,1,1,1,1,1,0
219346690,1,1,0,1,1,1,0
219617010,0,1,1,1,1,1,0
221173559,0,1,0,1,1,1,0
221690177,0,1,1,1,1,1,1
221742699,0,1,1,1,1,1,1
223533298,0,1,1,1,1,1,1
223840972,0,1,1,0,1,1,1
225045616,0,1,1,1,1,1,1
225323618,0,1,0,1,1,1,0
226197498,1,1,0,1,1,1,0
226964193,0,1,0,1,1,1,1
227817668,0,1,1,1,1,1,1
228056042,0,1,0,1,1,1,1
228306355,0,1,1,1,1,1,1
228708687,0,1,0,1,1,1,1
229298733,0,1,0,1,1,1,1
229758375,0,1,0,1,1,1,1
231058132,0,1,1,1,1,1,1
231377654,0,1,0,1,1,1,0
232560751,1,1,0,1,1,1,0
233245609,0,1,1,1,1,1,1
233287464,0,1,0,1,1,1,1
234715592,0,1,0,0,1,1,1
235303172,0,1,1,1,1,1,1
237747438,0,1,1,1,1,1,1
238107344,0,1,0,1,1,1,1
240346934,0,1,0,0,1,1,0
242064566,0,1,1,1,1,1,0
242123621,0,1,1,1,1,1,1
242301103,0,1,1,1,1,1,0
242319331,0,1,1,0,1,1,1
242341704,1,1,1,1,1,1,0
243891976,1,1,1,1,1,1,0
244625605,0,1,1,1,1,1,1
245306807,0,1,0,1,1,1,1
245430145,0,1,1,1,1,1,0
245953131,0,1,1,1,1,1,0
245970658,0,1,1,1,1,1,1
246208736,0,1,1,1,1,1,1
246886628,0,1,1,1,1,1,1
249122012,0,1,1,1,1,1,1
249692862,0,1,1,1,1,1,1
250171190,1,1,1,1,1,1,0
250842076,0,1,1,1,1,1,1
250851165,0,1,1,1,1,1,1
251313896,0,1,0,0,1,1,1
251500925,0,1,1,1,1,1,1
252516822,0,1,1,1,1,1,1
252686122,0,1,1,1,1,1,1
253281330,0,1,1,1,1,1,1
254558097,0,1,1,1,1,1,0
255656786,0,1,0,1,1,1,1
256598881,0,1,1,1,1,1,0
256689270,0,1,1,1,1,1,1
257399906,0,1,1,1,1,1,0
258762800,0,1,1,1,1,1,1
259160079,0,1,1,1,1,1,1
259428725,0,1,1,1,1,1,1
259773527,0,1,1,1,1,1,1
259894552,0,1,1,1,1,1,1
259934562,0,1,0,1,1,1,0
260636096,0,1,1,1,1,1,0
260693820,0,1,1,1,1,1,1
261223538,0,1,1,1,1,1,0
262100774,0,1,0,1,1,1,0
262165317,0,1,1,1,1,1,1
262199092,0,1,1,1,1,1,1
262235136,0,1,1,1,1,1,1
262328083,0,1,1,1,1,1,1
262898875,0,1,1,1,1,1,1
263278290,0,1,1,1,1,1,1
264333523,0,1,0,1,1,1,0
264801154,0,1,1,1,1,1,1
265419912,0,1,1,1,1,1,1
265529493,0,1,1,1,1,1,1
268773741,0,1,1,1,1,1,1
269535022,1,1,0,1,1,1,0
270472440,0,1,1,1,1,1,1
271032827,0,1,1,1,1,1,1
272876921,1,1,0,1,1,1,0
273686840,0,1,0,1,1,1,0
274536794,0,1,0,1,1,1,1
279139861,0,1,0,1,1,1,0
279147035,0,1,1,1,1,1,1
279211405,0,1,1,1,1,1,1
279461605,0,1,1,1,1,1,1
279557700,0,1,0,1,1,1,0
279644158,1,1,0,1,1,1,0
282738890,0,0,1,1,1,1,0
283521316,0,1,1,1,1,1,1
283906965,0,1,1,1,1,1,1
284481700,0,1,0,1,1,1,0
284657297,0,1,0,1,1,1,0
285724171,0,1,1,1,1,1,1
286790717,0,1,1,1,1,1,1
286798567,1,1,0,1,1,1,0
287557719,0,1,1,1,1,1,1
288148846,0,1,0,1,1,1,1
288798453,0,1,1,1,1,1,1
289859824,0,1,0,1,1,1,1
290723075,0,1,1,1,1,1,0
290734286,0,1,1,1,1,1,1
291290779,0,1,1,1,1,1,1
291314239,0,1,1,1,1,1,1
291403211,0,1,1,1,1,1,0
292565648,0,1,0,1,1,1,1
292577710,0,1,1,1,1,1,1
292912980,0,1,1,1,1,1,0
293394867,1,1,0,1,1,1,0
295168932,1,1,1,1,1,1,0
295788103,1,1,1,1,1,1,0
295961505,0,1,1,1,1,1,1
296876973,1,1,0,1,1,1,0
296999433,0,1,1,1,1,1,1
298018338,0,1,1,1,1,1,1
298459779,0,1,1,1,1,1,0
298489056,0,1,1,1,1,1,1
299837277,0,1,1,1,1,1,1
299837762,0,1,1,1,1,1,1
300796010,1,1,1,1,1,1,0
300838107,0,1,0,0,1,1,1
302114763,0,1,1,1,1,1,1
305386550,0,1,1,0,1,1,1
305553835,0,1,1,1,1,1,1
305551682,0,1,0,1,1,1,1
307790129,0,1,0,1,1,1,1
308151060,0,1,0,1,1,1,0
308672071,0,1,1,1,1,1,0
309800578,0,1,1,1,1,1,1
310250028,0,1,1,1,1,1,1
310401703,0,1,1,1,1,1,1
310496499,1,1,0,1,1,1,0
311394394,0,1,1,1,1,1,1
311505461,0,1,1,1,1,1,1
314030119,0,1,1,1,1,1,1
314922007,0,1,1,1,1,1,1
315436528,0,1,0,1,1,1,0
318661130,0,1,1,1,1,1,0
319054277,0,1,1,1,1,1,1
319091474,0,1,1,1,1,1,1
320880780,0,1,1,0,1,1,1
321266890,0,1,1,1,1,1,1
321281383,0,1,1,1,1,1,1
321425967,0,1,1,1,1,1,0
322587980,0,1,1,1,1,1,1
323379897,0,1,1,1,1,1,1
323809354,0,1,1,1,1,1,1
323937090,0,1,0,1,1,1,1
324440293,0,1,1,1,1,1,1
325551297,0,1,1,0,1,1,1
326054560,0,1,1,1,1,1,0
327397233,0,1,1,1,1,1,1
327510902,0,1,0,1,1,1,1
329008715,0,1,1,1,1,1,1
329103684,0,1,1,1,1,1,1
330202919,0,1,1,1,1,1,1
330327779,0,1,0,1,1,1,1
331312863,1,1,1,1,1,1,0
331875962,0,1,1,1,1,1,0
332389973,0,1,0,1,1,1,1
332699729,0,1,1,1,1,1,1
335208230,0,1,1,1,1,1,1
335832794,0,1,1,1,1,1,1
335837698,0,1,1,0,1,1,1
336406661,0,1,1,1,1,1,1
337161930,0,1,0,0,1,1,1
338284756,0,1,1,1,1,1,1
339058002,0,1,1,1,1,1,1
340346783,0,1,1,1,1,1,0
340364061,0,1,1,1,1,1,1
340396112,1,1,1,0,1,1,0
340951450,0,1,1,1,1,1,1
341339579,0,1,0,1,1,1,1
343307517,0,1,1,1,1,1,1
343473585,0,1,1,1,1,1,1
344525772,0,1,1,1,1,1,1
346829273,0,1,1,1,1,1,0
347274232,0,1,0,0,1,1,0
348430064,0,1,1,1,1,1,1
348981732,0,1,1,0,1,1,1
349204176,1,1,1,1,1,1,0
349626625,0,1,0,1,1,1,0
349929809,0,1,1,1,1,1,1
350160058,0,1,1,1,1,1,1
350244854,0,1,1,1,1,1,1
350791585,0,1,1,1,1,1,1
351555225,1,1,0,1,1,1,0
353011489,0,1,1,1,1,1,1
353768504,0,1,1,1,1,1,0
354796858,0,1,1,1,1,1,1
354818247,0,1,0,0,1,1,1
355600495,0,1,1,1,1,1,1
357129429,0,1,0,1,1,1,1
358733502,0,1,1,1,1,1,1
359926634,0,1,1,1,1,1,1
360547500,1,1,0,1,1,1,0
361097511,0,1,0,1,1,1,0
361746019,0,1,1,1,1,1,1
361784332,0,1,1,1,1,1,0
362993719,0,1,0,1,1,1,1
363251033,0,1,0,1,1,1,0
363830865,0,1,1,1,1,1,1
364111442,0,1,1,1,1,1,0
364277230,0,1,1,1,1,1,1
364323869,0,1,1,1,1,1,1
364776732,0,1,1,1,1,1,1
364805437,0,1,1,1,1,1,1
364851614,0,1,1,1,1,1,0
365372541,0,1,0,1,1,1,0
365383515,0,1,0,1,1,1,1
